"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD63",8.11380064031779e-124,-0.331148955111755,0.093,0.282,1.50016060038836e-119,"0","CD63"
"TYROBP",3.91692631408478e-107,-0.535856635981678,0.13,0.305,7.24200506211135e-103,"0","TYROBP"
"DYNLL1",3.09643767737095e-106,-0.330463332598738,0.14,0.313,5.72500362169114e-102,"0","DYNLL1"
"TYMP",6.57224332833834e-104,-0.270671603370049,0.097,0.266,1.21514206897648e-99,"0","TYMP"
"CLIC1",6.38498695636368e-103,-0.296238577434422,0.141,0.312,1.18052023836208e-98,"0","CLIC1"
"POMP",1.18815746722938e-101,-0.451697169094845,0.207,0.369,2.1967843411604e-97,"0","POMP"
"HLA-DRA",1.35687954234221e-101,-0.55314462781706,0.157,0.325,2.50873458583651e-97,"0","HLA-DRA"
"TXN",4.02756308227313e-101,-0.618046116277279,0.266,0.419,7.4465613828148e-97,"0","TXN"
"SRGN",2.79984087136817e-100,-0.345821731176083,0.18,0.346,5.17662578707261e-96,"0","SRGN"
"POLR2L",4.74356609258594e-98,-0.400480978752738,0.229,0.387,8.77037934858214e-94,"0","POLR2L"
"PRDX1",1.16319635606052e-96,-0.382608969417557,0.161,0.321,2.1506337427203e-92,"0","PRDX1"
"GSTP1",6.22641845520104e-96,-0.369712669570497,0.191,0.349,1.15120250818212e-91,"0","GSTP1"
"FCER1G",2.35171865716146e-95,-0.501571493364173,0.125,0.286,4.34809262522582e-91,"0","FCER1G"
"SEC61B",1.02353883627957e-92,-0.364563174076444,0.17,0.327,1.89242095439731e-88,"0","SEC61B"
"NFKBIA",1.75770298757622e-92,-0.289638675201299,0.1,0.258,3.24981705372967e-88,"0","NFKBIA"
"PSME2",3.98590698696558e-92,-0.49326989671538,0.279,0.423,7.36954342820066e-88,"0","PSME2"
"HLA-DRB1",4.26270183238717e-91,-0.436397692503099,0.09,0.242,7.88130941790063e-87,"0","HLA-DRB1"
